molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL1162951,COc1ccc(C2CC(=O)c3ccccc3O2)cc1CC=C(C)C,active,291.314,2.3252800000000002,1.0,6.0,4.91721462968355
CHEMBL388375,COc1ccc(/C=C/C(O)c2ccccc2O)cc1CC=C(C)C,active,434.8650000000002,1.86398,1.0,9.0,3.5084002099541314
CHEMBL229635,COc1ccc2c(c1)OC(c1ccc(OC)c(CC=C(C)C)c1)CC2=O,active,395.40400000000005,1.0736600000000003,1.0,9.0,5.43533393574791
CHEMBL229633,COc1ccc(C(=O)/C=C/c2ccc(OC)c(CC=C(C)C)c2)c(O)c1,active,400.4200000000002,1.21058,1.0,9.0,3.547064129798821
CHEMBL388374,COc1ccc2c(c1)OC(c1ccc(O)c(CC=C(C)C)c1)CC2=O,active,496.29,1.80658,1.0,8.0,5.323306390375134
CHEMBL229841,COc1ccc(C(=O)/C=C/c2ccc(O)c(CC=C(C)C)c2)c(O)c1,active,262.312,3.1624000000000008,0.0,3.0,3.5294425147827257
CHEMBL229790,COCOc1ccc(C2CC(=O)c3ccc(OC)cc3O2)cc1CC=C(C)C,active,223.279,2.680480000000001,0.0,3.0,4.599634726650061
CHEMBL390731,COCOc1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1CC=C(C)C,active,341.2080000000001,3.9249000000000027,0.0,3.0,3.582528306796707
CHEMBL229789,COc1ccc(C2CC(=O)c3ccc(O)cc3O2)cc1CC=C(C)C,active,383.4070000000001,4.737600000000004,0.0,5.0,5.38933983691012
CHEMBL389925,COc1ccc(/C=C/C(=O)c2ccc(O)cc2O)cc1CC=C(C)C,active,307.30899999999997,3.0706000000000007,0.0,5.0,4.081235968972001
CHEMBL425670,COCOc1ccc2c(c1)OC(c1ccc(OC)c(CC=C(C)C)c1)CC2=O,active,307.3090000000001,3.0706000000000016,0.0,5.0,5.115204636051019
CHEMBL229893,COCOc1ccc(C(=O)/C=C/c2ccc(OC)c(CC=C(C)C)c2)c(O)c1,active,262.312,3.1624000000000008,0.0,3.0,3.582528306796707
CHEMBL558103,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)ccc1O,active,338.4100000000001,4.829400000000004,0.0,3.0,4.387746093903563
CHEMBL229885,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)ccc1O,active,338.4100000000001,4.829400000000004,0.0,3.0,3.511026475273492
CHEMBL229945,COCOc1ccc2c(c1)OC(c1ccc(OCOC)c(CC=C(C)C)c1)CC2=O,active,262.312,3.1624000000000008,0.0,3.0,4.855425792390384
CHEMBL229094,COc1ccc(C(=O)CC(O)c2ccc(OC)c(CC=C(C)C)c2)c(O)c1,inactive,224.259,3.3931000000000022,0.0,2.0,4.262250926108443
CHEMBL226947,N#Cc1ccc(N(Cc2ccc(Br)c(O)c2)n2cnnc2)cc1,active,290.31800000000004,4.251900000000003,1.0,3.0,9.301029995663981
CHEMBL226946,N#Cc1ccc(N(Cc2ccc(Cl)c(O)c2)n2cnnc2)cc1,active,290.31800000000004,4.251900000000003,1.0,3.0,9.744727494896694
CHEMBL226891,N#Cc1ccc(N(Cc2c(F)c(F)c(O)c(F)c2F)n2cnnc2)cc1,active,314.3630000000002,2.6778000000000004,1.0,5.0,6.798602875679548
CHEMBL226843,N#Cc1ccc(N(Cc2cc(Cl)c(O)c(Cl)c2)n2cnnc2)cc1,active,486.59300000000025,5.5807000000000055,1.0,4.0,8.119186407719209
CHEMBL226842,N#Cc1ccc(N(Cc2ccc(O)c(C(F)(F)F)c2)n2cnnc2)cc1,active,435.50500000000017,3.7853800000000026,1.0,5.0,9.05551732784983
CHEMBL226841,N#Cc1ccc(N(Cc2ccc(O)c(C#N)c2)n2cnnc2)cc1,active,489.93700000000024,4.475300000000004,1.0,6.0,7.619788758288394
CHEMBL226791,COc1cc(CN(c2ccc(C#N)cc2)n2cnnc2)ccc1O,active,479.3850000000002,5.220500000000005,1.0,4.0,8.55284196865778
CHEMBL226790,N#Cc1ccc(N(Cc2ccc(O)c(I)c2)n2cnnc2)cc1,active,416.54300000000006,4.180200000000004,1.0,4.0,9.481486060122112
CHEMBL226789,N#Cc1ccc(N(Cc2ccc(O)c(Cl)c2)n2cnnc2)cc1,inactive,348.42400000000004,2.6198000000000006,1.0,4.0,8.602059991327963
CHEMBL388291,N#Cc1ccc(N(Cc2ccc(O)cc2)n2cnnc2)cc1,inactive,398.44000000000017,4.283020000000003,1.0,5.0,7.638272163982407
CHEMBL226737,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(C#N)c2)n2cnnc2)cc1,inactive,424.4560000000001,6.093100000000004,1.0,4.0,7.568636235841013
CHEMBL226736,COc1cc(CN(c2ccc(C#N)cc2)n2cnnc2)ccc1OS(N)(=O)=O,inactive,398.41800000000006,5.5793000000000035,1.0,4.0,7.376750709602099
CHEMBL390496,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(I)c2)n2cnnc2)cc1,inactive,373.3680000000001,4.297780000000002,1.0,5.0,8.823908740944319
,,inactive,417.24800000000005,5.7329000000000025,1.0,4.0,
CHEMBL244795,O=C(c1ccccc1)c1ccccc1Cn1ccnc1,inactive,427.80000000000007,4.987700000000003,1.0,6.0,6.251811972993799
CHEMBL9298,N#Cc1ccc(C2CCCc3cncn32)cc1,inactive,393.3550000000001,4.3343000000000025,1.0,6.0,7.2839966563652006
CHEMBL242454,O=C(c1ccccc1)c1cc(Br)ccc1Cn1ccnc1,inactive,393.3550000000001,4.3343000000000025,1.0,6.0,6.3979400086720375
CHEMBL243755,O=C(c1ccccc1)c1cc([N+](=O)[O-])ccc1Cn1ccnc1,inactive,354.4060000000002,4.692600000000004,1.0,4.0,7.586700235918748
CHEMBL388930,O=C(c1ccccc1)c1cc(Cn2ccnc2)ccc1[N+](=O)[O-],inactive,348.358,4.426100000000003,1.0,4.0,7.508638306165727
CHEMBL243960,O=C(c1ccc(-c2ccccc2)cc1)c1ccccc1Cn1ccnc1,active,350.3960000000001,2.6121000000000008,0.0,5.0,6.585026652029182
CHEMBL397728,O=C(c1ccccc1)c1cccc(Cn2ccnc2)c1,active,336.3690000000001,2.5878000000000005,1.0,5.0,8.136677139879543
CHEMBL274318,O=C1CC(c2ccccc2)Oc2ccccc21,active,412.4670000000001,4.236600000000005,0.0,5.0,4.552841968657781
CHEMBL283196,O=c1cc(-c2ccccc2)oc2c1ccc1ccccc12,active,398.4400000000001,4.212300000000003,1.0,5.0,5.698970004336019
CHEMBL404225,O=C1CC(c2ccccc2)Oc2c1ccc1ccccc21,active,415.26500000000004,3.3321000000000023,0.0,5.0,5.366531544420414
CHEMBL256665,O=C1CC(c2ccc(O)cc2)Oc2c1ccc1ccccc21,active,356.78700000000003,3.1987000000000014,1.0,5.0,6.200659450546418
CHEMBL255108,N#Cc1ccc(C2CC(=O)c3ccc4ccccc4c3O2)cc1,active,340.33200000000005,2.684400000000001,1.0,5.0,5.8124792791635365
CHEMBL252642,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,active,366.3950000000001,2.5782000000000007,0.0,6.0,5.6777807052660805
CHEMBL7162,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,active,412.46700000000016,4.236600000000005,0.0,5.0,6.167491087293763
CHEMBL271794,CN(c1ccc(NC(=O)c2ccc(-c3ccccc3)cc2)cc1OCc1ccccc1)S(C)(=O)=O,active,398.4400000000001,4.212300000000003,1.0,5.0,6.920818753952375
CHEMBL270915,CN(c1ccc(NC(=O)c2ccc(Cl)c([N+](=O)[O-])c2)cc1OCc1ccccc1)S(C)(=O)=O,active,381.3660000000001,2.4778000000000002,0.0,7.0,6.161150909262744
CHEMBL271129,CN(c1ccc(NC(=O)c2ccc(Cl)c(Cl)c2)cc1OCc1ccccc1)S(C)(=O)=O,active,367.3390000000001,2.4535,1.0,7.0,6.161150909262744
CHEMBL270917,CN(c1ccc(NC(=O)C2CCCCC2)cc1OCc1ccccc1)S(C)(=O)=O,active,336.3690000000001,2.5696000000000003,0.0,5.0,6.6020599913279625
CHEMBL405881,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2ccc([N+](=O)[O-])cc2OCc2ccccc2)cc1,active,358.4600000000001,4.095700000000003,1.0,5.0,5.663540266151471
CHEMBL407092,N#Cc1ccc(C(=O)Nc2ccc([N+](=O)[O-])cc2OCc2ccccc2)cc1,active,288.32500000000005,1.7794,0.0,5.0,4.6020599913279625
CHEMBL260098,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1ccc(Cl)c([N+](=O)[O-])c1,active,316.379,2.5580000000000007,0.0,5.0,4.6020599913279625
CHEMBL270301,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1cccc([N+](=O)[O-])c1,active,302.35200000000003,2.5337000000000005,1.0,5.0,4.6020599913279625
CHEMBL409448,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1ccc([N+](=O)[O-])cc1,active,342.41700000000003,2.9497000000000018,0.0,5.0,4.6020599913279625
CHEMBL260955,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)C1CCCCC1,active,314.363,2.3120000000000003,0.0,5.0,4.6020599913279625
CHEMBL407953,O=C(Nc1ccc([N+](=O)[O-])cc1OCc1ccccc1)c1ccccc1,active,300.3360000000002,2.2877,1.0,5.0,4.6020599913279625
CHEMBL222189,CN(c1ccc([N+](=O)[O-])cc1OCc1cccc2ccccc12)S(C)(=O)=O,inactive,260.271,0.9991999999999999,0.0,5.0,5.931814138253839
